Date,CRM(t-1),CRM(t)
2015-01-05,58.91096115112305,57.846900939941406
2015-01-06,57.846900939941406,56.882286071777344
2015-01-07,56.882286071777344,56.61378860473633
2015-01-08,56.61378860473633,58.26456832885742
2015-01-09,58.26456832885742,57.83695602416992
2015-01-12,57.83695602416992,57.40933990478515
2015-01-13,57.40933990478515,57.64801406860352
2015-01-14,57.64801406860352,56.9320068359375
2015-01-15,56.9320068359375,54.80389404296875
2015-01-16,54.80389404296875,56.325401306152344
2015-01-20,56.325401306152344,56.9717903137207
2015-01-21,56.9717903137207,57.38945388793945
2015-01-22,57.38945388793945,57.6778450012207
2015-01-23,57.6778450012207,58.29439926147461
2015-01-26,58.29439926147461,59.44795608520508
2015-01-27,59.44795608520508,57.469017028808594
2015-01-28,57.469017028808594,56.037010192871094
2015-01-29,56.037010192871094,57.777286529541016
2015-01-30,57.777286529541016,56.13645553588867
2015-02-02,56.13645553588867,56.96184158325195
2015-02-03,56.96184158325195,58.28445816040039
2015-02-04,58.28445816040039,58.66234588623047
2015-02-05,58.66234588623047,58.93083953857422
2015-02-06,58.93083953857422,58.84134292602539
2015-02-09,58.84134292602539,57.657955169677734
2015-02-10,57.657955169677734,58.46345520019531
2015-02-11,58.46345520019531,58.47339630126953
2015-02-12,58.47339630126953,60.91973876953125
2015-02-13,60.91973876953125,62.50090408325195
2015-02-17,62.50090408325195,61.72523880004883
2015-02-18,61.72523880004883,62.65007400512695
2015-02-19,62.65007400512695,62.46112823486328
2015-02-20,62.46112823486328,63.385963439941406
2015-02-23,63.385963439941406,62.2324104309082
2015-02-24,62.2324104309082,61.58601760864258
2015-02-25,61.58601760864258,62.52079391479492
2015-02-26,62.52079391479492,69.84986114501953
2015-02-27,69.84986114501953,68.99463653564453
2015-03-02,68.99463653564453,68.07974243164062
2015-03-03,68.07974243164062,66.57813262939453
2015-03-04,66.57813262939453,64.5196304321289
2015-03-05,64.5196304321289,65.2256851196289
2015-03-06,65.2256851196289,64.20140075683594
2015-03-09,64.20140075683594,65.11629486083984
2015-03-10,65.11629486083984,63.40584945678711
2015-03-11,63.40584945678711,63.326297760009766
2015-03-12,63.326297760009766,64.5892333984375
2015-03-13,64.5892333984375,64.2411880493164
2015-03-16,64.2411880493164,66.06101989746094
2015-03-17,66.06101989746094,67.1748046875
2015-03-18,67.1748046875,68.16925048828125
2015-03-19,68.16925048828125,68.4974136352539
2015-03-20,68.4974136352539,67.31402587890625
2015-03-23,67.31402587890625,67.28418731689453
2015-03-24,67.28418731689453,66.99580383300781
2015-03-25,66.99580383300781,65.41462707519531
2015-03-26,65.41462707519531,65.62346649169922
2015-03-27,65.62346649169922,66.18035888671875
2015-03-30,66.18035888671875,66.47868347167969
2015-03-31,66.47868347167969,66.43891143798828
2015-04-01,66.43891143798828,65.71295928955078
2015-04-02,65.71295928955078,66.30963134765625
2015-04-06,66.30963134765625,67.5626449584961
2015-04-07,67.5626449584961,67.82118225097656
2015-04-08,67.82118225097656,67.83113861083984
2015-04-09,67.83113861083984,67.3637466430664
2015-04-10,67.3637466430664,67.26429748535156
2015-04-13,67.26429748535156,66.70741271972656
2015-04-14,66.70741271972656,66.53836059570312
2015-04-15,66.53836059570312,66.8366928100586
2015-04-16,66.8366928100586,67.53280639648438
2015-04-17,67.53280639648438,65.44446563720703
2015-04-20,65.44446563720703,66.52841186523438
2015-04-21,66.52841186523438,67.00574493408203
2015-04-22,67.00574493408203,67.33390808105469
2015-04-23,67.33390808105469,68.08969116210938
2015-04-24,68.08969116210938,67.4532470703125
2015-04-27,67.4532470703125,67.46318817138672
2015-04-28,67.46318817138672,66.51846313476562
2015-04-29,66.51846313476562,74.23536682128906
2015-04-30,74.23536682128906,72.41551971435547
2015-05-01,72.41551971435547,72.9525375366211
2015-05-04,72.9525375366211,71.20230102539062
2015-05-05,71.20230102539062,72.34591674804688
2015-05-06,72.34591674804688,73.38013458251953
2015-05-07,73.38013458251953,74.10608673095703
2015-05-08,74.10608673095703,71.99786376953125
2015-05-11,71.99786376953125,70.80451965332031
2015-05-12,70.80451965332031,71.3713607788086
2015-05-13,71.3713607788086,71.39125061035156
2015-05-14,71.39125061035156,72.47518920898438
2015-05-15,72.47518920898438,71.99786376953125
2015-05-18,71.99786376953125,72.39564514160156
2015-05-19,72.39564514160156,71.08296966552734
2015-05-20,71.08296966552734,69.77030944824219
2015-05-21,69.77030944824219,72.50503540039062
2015-05-22,72.50503540039062,74.5933609008789
2015-05-26,74.5933609008789,73.16136169433594
2015-05-27,73.16136169433594,73.53925323486328
2015-05-28,73.53925323486328,72.27630615234375
2015-05-29,72.27630615234375,72.34591674804688
2015-06-01,72.34591674804688,72.69396209716797
2015-06-02,72.69396209716797,72.49508666992188
2015-06-03,72.49508666992188,73.0619125366211
2015-06-04,73.0619125366211,71.80892181396484
2015-06-05,71.80892181396484,73.1414794921875
2015-06-08,73.1414794921875,71.44097137451172
2015-06-09,71.44097137451172,71.3614273071289
2015-06-10,71.3614273071289,72.62435913085938
2015-06-11,72.62435913085938,71.99786376953125
2015-06-12,71.99786376953125,71.3713607788086
2015-06-15,71.3713607788086,72.15697479248047
2015-06-16,72.15697479248047,72.9923095703125
2015-06-17,72.9923095703125,74.00663757324219
2015-06-18,74.00663757324219,75.28946685791016
2015-06-19,75.28946685791016,74.58342742919922
2015-06-22,74.58342742919922,74.36463928222656
2015-06-23,74.36463928222656,73.78785705566406
2015-06-24,73.78785705566406,73.09175109863281
2015-06-25,73.09175109863281,73.20114135742188
2015-06-26,73.20114135742188,71.93818664550781
