Date,AMZN(t-1),AMZN(t)
2015-01-05,15.425999641418455,15.10949993133545
2015-01-06,15.10949993133545,14.76449966430664
2015-01-07,14.76449966430664,14.92099952697754
2015-01-08,14.92099952697754,15.02299976348877
2015-01-09,15.02299976348877,14.846500396728516
2015-01-12,14.846500396728516,14.570500373840332
2015-01-13,14.570500373840332,14.737000465393066
2015-01-14,14.737000465393066,14.66349983215332
2015-01-15,14.66349983215332,14.34749984741211
2015-01-16,14.34749984741211,14.536999702453612
2015-01-20,14.536999702453612,14.472000122070312
2015-01-21,14.472000122070312,14.862500190734863
2015-01-22,14.862500190734863,15.515999794006348
2015-01-23,15.515999794006348,15.619500160217283
2015-01-26,15.619500160217283,15.482999801635742
2015-01-27,15.482999801635742,15.337499618530272
2015-01-28,15.337499618530272,15.195500373840332
2015-01-29,15.195500373840332,15.58899974822998
2015-01-30,15.58899974822998,17.726499557495117
2015-02-02,17.726499557495117,18.223499298095703
2015-02-03,18.223499298095703,18.177499771118164
2015-02-04,18.177499771118164,18.237499237060547
2015-02-05,18.237499237060547,18.694499969482425
2015-02-06,18.694499969482425,18.714000701904297
2015-02-09,18.714000701904297,18.527999877929688
2015-02-10,18.527999877929688,18.649999618530273
2015-02-11,18.649999618530273,18.756999969482425
2015-02-12,18.756999969482425,18.85849952697754
2015-02-13,18.85849952697754,19.09149932861328
2015-02-17,19.09149932861328,18.771499633789062
2015-02-18,18.771499633789062,18.668500900268555
2015-02-19,18.668500900268555,18.950000762939453
2015-02-20,18.950000762939453,19.183000564575195
2015-02-23,19.183000564575195,19.006999969482425
2015-02-24,19.006999969482425,18.929500579833984
2015-02-25,18.929500579833984,19.26849937438965
2015-02-26,19.26849937438965,19.239999771118164
2015-02-27,19.239999771118164,19.007999420166016
2015-03-02,19.007999420166016,19.28300094604492
2015-03-03,19.28300094604492,19.230499267578125
2015-03-04,19.230499267578125,19.13599967956543
2015-03-05,19.13599967956543,19.39150047302246
2015-03-06,19.39150047302246,19.004499435424805
2015-03-09,19.004499435424805,18.92799949645996
2015-03-10,18.92799949645996,18.475500106811523
2015-03-11,18.475500106811523,18.318500518798828
2015-03-12,18.318500518798828,18.711999893188477
2015-03-13,18.711999893188477,18.52899932861328
2015-03-16,18.52899932861328,18.667499542236328
2015-03-17,18.667499542236328,18.59600067138672
2015-03-18,18.59600067138672,18.756999969482425
2015-03-19,18.756999969482425,18.66200065612793
2015-03-20,18.66200065612793,18.92449951171875
2015-03-23,18.92449951171875,18.75550079345703
2015-03-24,18.75550079345703,18.704500198364254
2015-03-25,18.704500198364254,18.54800033569336
2015-03-26,18.54800033569336,18.36750030517578
2015-03-27,18.36750030517578,18.527999877929688
2015-03-30,18.527999877929688,18.72949981689453
2015-03-31,18.72949981689453,18.604999542236328
2015-04-01,18.604999542236328,18.51300048828125
2015-04-02,18.51300048828125,18.612499237060547
2015-04-06,18.612499237060547,18.85199928283691
2015-04-07,18.85199928283691,18.72050094604492
2015-04-08,18.72050094604492,19.059999465942383
2015-04-09,19.059999465942383,19.177000045776367
2015-04-10,19.177000045776367,19.13249969482422
2015-04-13,19.13249969482422,19.118000030517575
2015-04-14,19.118000030517575,19.25550079345703
2015-04-15,19.25550079345703,19.17250061035156
2015-04-16,19.17250061035156,19.302000045776367
2015-04-17,19.302000045776367,18.777999877929688
2015-04-20,18.777999877929688,19.475500106811523
2015-04-21,19.475500106811523,19.55900001525879
2015-04-22,19.55900001525879,19.489999771118164
2015-04-23,19.489999771118164,19.499500274658203
2015-04-24,19.499500274658203,22.2549991607666
2015-04-27,22.2549991607666,21.92799949645996
2015-04-28,21.92799949645996,21.465499877929688
2015-04-29,21.465499877929688,21.4685001373291
2015-04-30,21.4685001373291,21.089000701904297
2015-05-01,21.089000701904297,21.14349937438965
2015-05-04,21.14349937438965,21.152000427246097
2015-05-05,21.152000427246097,21.059499740600582
2015-05-06,21.059499740600582,20.954999923706055
2015-05-07,20.954999923706055,21.3439998626709
2015-05-08,21.3439998626709,21.684499740600582
2015-05-11,21.684499740600582,21.642499923706055
2015-05-12,21.642499923706055,21.551000595092773
2015-05-13,21.551000595092773,21.3435001373291
2015-05-14,21.3435001373291,21.61400032043457
2015-05-15,21.61400032043457,21.299999237060547
2015-05-18,21.299999237060547,21.261999130249023
2015-05-19,21.261999130249023,21.08550071716309
2015-05-20,21.08550071716309,21.19300079345703
2015-05-21,21.19300079345703,21.581499099731445
2015-05-22,21.581499099731445,21.381500244140625
2015-05-26,21.381500244140625,21.273500442504883
2015-05-27,21.273500442504883,21.570999145507812
2015-05-28,21.570999145507812,21.328500747680664
2015-05-29,21.328500747680664,21.46150016784668
2015-06-01,21.46150016784668,21.54599952697754
2015-06-02,21.54599952697754,21.54949951171875
2015-06-03,21.54949951171875,21.829500198364254
2015-06-04,21.829500198364254,21.538999557495117
2015-06-05,21.538999557495117,21.34749984741211
2015-06-08,21.34749984741211,21.174999237060547
2015-06-09,21.174999237060547,21.27400016784668
2015-06-10,21.27400016784668,21.53849983215332
2015-06-11,21.53849983215332,21.648500442504883
2015-06-12,21.648500442504883,21.496000289916992
2015-06-15,21.496000289916992,21.183500289916992
2015-06-16,21.183500289916992,21.363000869750977
2015-06-17,21.363000869750977,21.39049911499023
2015-06-18,21.39049911499023,21.969499588012695
2015-06-19,21.969499588012695,21.746000289916992
2015-06-22,21.746000289916992,21.81450080871582
2015-06-23,21.81450080871582,22.29949951171875
2015-06-24,22.29949951171875,22.04199981689453
2015-06-25,22.04199981689453,22.0049991607666
