Date,MSFT(t-1),MSFT(t)
2015-01-05,40.15248107910156,39.78324890136719
2015-01-06,39.78324890136719,39.1993408203125
2015-01-07,39.1993408203125,39.69736862182617
2015-01-08,39.69736862182617,40.86520004272461
2015-01-09,40.86520004272461,40.5217170715332
2015-01-12,40.5217170715332,40.01508712768555
2015-01-13,40.01508712768555,39.80899429321289
2015-01-14,39.80899429321289,39.46553421020508
2015-01-15,39.46553421020508,39.05336380004883
2015-01-16,39.05336380004883,39.70595169067383
2015-01-20,39.70595169067383,39.834774017333984
2015-01-21,39.834774017333984,39.43117141723633
2015-01-22,39.43117141723633,40.470191955566406
2015-01-23,40.470191955566406,40.51312255859375
2015-01-26,40.51312255859375,40.36714553833008
2015-01-27,40.36714553833008,36.63184356689453
2015-01-28,36.63184356689453,35.36955642700195
2015-01-29,35.36955642700195,36.073692321777344
2015-01-30,36.073692321777344,34.69119644165039
2015-02-02,34.69119644165039,35.44685363769531
2015-02-03,35.44685363769531,35.72162628173828
2015-02-04,35.72162628173828,35.92770767211914
2015-02-05,35.92770767211914,36.451507568359375
2015-02-06,36.451507568359375,36.41716766357422
2015-02-09,36.41716766357422,36.37423324584961
2015-02-10,36.37423324584961,36.580326080322266
2015-02-11,36.580326080322266,36.39140701293945
2015-02-12,36.39140701293945,37.00107955932617
2015-02-13,37.00107955932617,37.670860290527344
2015-02-17,37.670860290527344,37.68815994262695
2015-02-18,37.68815994262695,37.64491653442383
2015-02-19,37.64491653442383,37.61896896362305
2015-02-20,37.61896896362305,37.930301666259766
2015-02-23,37.930301666259766,38.18109130859375
2015-02-24,38.18109130859375,38.129207611083984
2015-02-25,38.129207611083984,38.0427131652832
2015-02-26,38.0427131652832,38.10325622558594
2015-02-27,38.10325622558594,37.92165756225586
2015-03-02,37.92165756225586,37.94759368896485
2015-03-03,37.94759368896485,37.428714752197266
2015-03-04,37.428714752197266,37.23846435546875
2015-03-05,37.23846435546875,37.281707763671875
2015-03-06,37.281707763671875,36.633087158203125
2015-03-09,36.633087158203125,37.056846618652344
2015-03-10,37.056846618652344,36.34771728515625
2015-03-11,36.34771728515625,36.30447006225586
2015-03-12,36.30447006225586,35.47425842285156
2015-03-13,35.47425842285156,35.78558349609375
2015-03-16,35.78558349609375,35.94124984741211
2015-03-17,35.94124984741211,36.06234359741211
2015-03-18,36.06234359741211,36.75416564941406
2015-03-19,36.75416564941406,36.57256317138672
2015-03-20,36.57256317138672,37.08279800415039
2015-03-23,37.08279800415039,37.06549835205078
2015-03-24,37.06549835205078,37.100093841552734
2015-03-25,37.100093841552734,35.85477828979492
2015-03-26,35.85477828979492,35.638572692871094
2015-03-27,35.638572692871094,35.4310188293457
2015-03-30,35.4310188293457,35.42237091064453
2015-03-31,35.42237091064453,35.162933349609375
2015-04-01,35.162933349609375,35.21481704711914
2015-04-02,35.21481704711914,34.84294891357422
2015-04-06,34.84294891357422,35.93260192871094
2015-04-07,35.93260192871094,35.915306091308594
2015-04-08,35.915306091308594,35.82017517089844
2015-04-09,35.82017517089844,35.872066497802734
2015-04-10,35.872066497802734,36.07960891723633
2015-04-13,36.07960891723633,36.11421203613281
2015-04-14,36.11421203613281,36.01908874511719
2015-04-15,36.01908874511719,36.5466194152832
2015-04-16,36.5466194152832,36.460147857666016
2015-04-17,36.460147857666016,35.993141174316406
2015-04-20,35.993141174316406,37.108734130859375
2015-04-21,37.108734130859375,36.8752326965332
2015-04-22,36.8752326965332,37.17792510986328
2015-04-23,37.17792510986328,37.4805908203125
2015-04-24,37.4805908203125,41.398170471191406
2015-04-27,41.398170471191406,41.53653717041016
2015-04-28,41.53653717041016,42.51375579833984
2015-04-29,42.51375579833984,42.42729187011719
2015-04-30,42.42729187011719,42.06406784057617
2015-05-01,42.06406784057617,42.08136367797851
2015-05-04,42.08136367797851,41.7181396484375
2015-05-05,41.7181396484375,41.1646728515625
2015-05-06,41.1646728515625,40.02312850952149
2015-05-07,40.02312850952149,40.38634490966797
2015-05-08,40.38634490966797,41.29439163208008
2015-05-11,41.29439163208008,40.96575546264648
2015-05-12,40.96575546264648,40.94846725463867
2015-05-13,40.94846725463867,41.19062805175781
2015-05-14,41.19062805175781,42.13325119018555
2015-05-15,42.13325119018555,41.77001190185547
2015-05-18,41.77001190185547,41.51924133300781
2015-05-19,41.51924133300781,41.414791107177734
2015-05-20,41.414791107177734,41.414791107177734
2015-05-21,41.414791107177734,41.275516510009766
2015-05-22,41.275516510009766,40.82290267944336
2015-05-26,40.82290267944336,40.55306243896485
2015-05-27,40.55306243896485,41.44090270996094
2015-05-28,41.44090270996094,41.301631927490234
2015-05-29,41.301631927490234,40.788089752197266
2015-06-01,40.788089752197266,41.110145568847656
2015-06-02,41.110145568847656,40.84031677246094
2015-06-03,40.84031677246094,40.77937698364258
2015-06-04,40.77937698364258,40.35285949707031
2015-06-05,40.35285949707031,40.16136932373047
2015-06-08,40.16136932373047,39.804500579833984
2015-06-09,39.804500579833984,39.73487091064453
2015-06-10,39.73487091064453,40.57048034667969
2015-06-11,40.57048034667969,40.42249298095703
2015-06-12,40.42249298095703,40.01338577270508
2015-06-15,40.01338577270508,39.586891174316406
2015-06-16,39.586891174316406,39.89155197143555
2015-06-17,39.89155197143555,40.01338577270508
2015-06-18,40.01338577270508,40.66621780395508
2015-06-19,40.66621780395508,40.126564025878906
2015-06-22,40.126564025878906,40.239715576171875
2015-06-23,40.239715576171875,39.96117401123047
2015-06-24,39.96117401123047,39.726165771484375
2015-06-25,39.726165771484375,39.73487091064453
