Date,IBM(t-1),IBM(t)
2015-01-05,99.9921417236328,98.41878509521484
2015-01-06,98.41878509521484,96.29627990722656
2015-01-07,96.29627990722656,95.66693115234376
2015-01-08,95.66693115234376,97.74623107910156
2015-01-09,97.74623107910156,98.17195892333984
2015-01-12,98.17195892333984,96.52452850341795
2015-01-13,96.52452850341795,96.75286102294922
2015-01-14,96.75286102294922,96.12966918945312
2015-01-15,96.12966918945312,95.37075805664062
2015-01-16,95.37075805664062,96.95648193359376
2015-01-20,96.95648193359376,96.83926391601562
2015-01-21,96.83926391601562,93.840576171875
2015-01-22,93.840576171875,95.87672424316406
2015-01-23,95.87672424316406,96.1728515625
2015-01-26,96.1728515625,96.47515869140624
2015-01-27,96.47515869140624,94.81546020507812
2015-01-28,94.81546020507812,93.50739288330078
2015-01-29,93.50739288330078,95.93224334716795
2015-01-30,95.93224334716795,94.59333038330078
2015-02-02,94.59333038330078,95.4262924194336
2015-02-03,95.4262924194336,97.77708435058594
2015-02-04,97.77708435058594,96.84539794921876
2015-02-05,96.84539794921876,97.43154907226562
2015-02-06,97.43154907226562,97.37561798095705
2015-02-09,97.37561798095705,96.77291870117188
2015-02-10,96.77291870117188,98.51889038085938
2015-02-11,98.51889038085938,98.29523468017578
2015-02-12,98.29523468017578,98.49406433105467
2015-02-13,98.49406433105467,99.6621322631836
2015-02-17,99.6621322631836,100.01010131835938
2015-02-18,100.01010131835938,100.77433776855467
2015-02-19,100.77433776855467,101.8305892944336
2015-02-20,101.8305892944336,101.68152618408205
2015-02-23,101.68152618408205,101.22171020507812
2015-02-24,101.22171020507812,102.41466522216795
2015-02-25,102.41466522216795,101.15957641601562
2015-02-26,101.15957641601562,99.95419311523438
2015-02-27,99.95419311523438,100.61901092529295
2015-03-02,100.61901092529295,99.71183776855467
2015-03-03,99.71183776855467,100.05358123779295
2015-03-04,100.05358123779295,99.05326080322266
2015-03-05,99.05326080322266,100.14680480957033
2015-03-06,100.14680480957033,98.48162841796876
2015-03-09,98.48162841796876,99.8920440673828
2015-03-10,99.8920440673828,98.0528793334961
2015-03-11,98.0528793334961,97.42532348632812
2015-03-12,97.42532348632812,98.15852355957033
2015-03-13,98.15852355957033,95.85958862304688
2015-03-16,95.85958862304688,97.59933471679688
2015-03-17,97.59933471679688,97.5247573852539
2015-03-18,97.5247573852539,99.2955322265625
2015-03-19,99.2955322265625,99.2955322265625
2015-03-20,99.2955322265625,101.20304870605467
2015-03-23,101.20304870605467,102.2904052734375
2015-03-24,102.2904052734375,101.27762603759766
2015-03-25,101.27762603759766,98.91653442382812
2015-03-26,98.91653442382812,99.78022003173828
2015-03-27,99.78022003173828,99.6621322631836
2015-03-30,99.6621322631836,101.07258605957033
2015-03-31,101.07258605957033,99.72428894042967
2015-04-01,99.72428894042967,98.90412139892578
2015-04-02,98.90412139892578,99.69322967529295
2015-04-06,99.69322967529295,100.68113708496094
2015-04-07,100.68113708496094,100.69979095458984
2015-04-08,100.69979095458984,100.56307983398438
2015-04-09,100.56307983398438,100.86753845214844
2015-04-10,100.86753845214844,101.1906280517578
2015-04-13,101.1906280517578,100.89241027832033
2015-04-14,100.89241027832033,100.8426742553711
2015-04-15,100.8426742553711,101.97974395751952
2015-04-16,101.97974395751952,101.35842895507812
2015-04-17,101.35842895507812,99.82992553710938
2015-04-20,99.82992553710938,103.24104309082033
2015-04-21,103.24104309082033,102.06050872802734
2015-04-22,102.06050872802734,102.74398803710938
2015-04-23,102.74398803710938,105.7760772705078
2015-04-24,105.7760772705078,105.49031066894533
2015-04-27,105.49031066894533,106.0805206298828
2015-04-28,106.0805206298828,108.06261444091795
2015-04-29,108.06261444091795,108.36085510253906
2015-04-30,108.36085510253906,106.42850494384766
2015-05-01,106.42850494384766,107.90725708007812
2015-05-04,107.90725708007812,108.0936508178711
2015-05-05,108.0936508178711,107.5406723022461
2015-05-06,107.5406723022461,106.45763397216795
2015-05-07,106.45763397216795,107.04608154296876
2015-05-08,107.04608154296876,108.1041030883789
2015-05-11,108.1041030883789,107.1274871826172
2015-05-12,107.1274871826172,106.77064514160156
2015-05-13,106.77064514160156,107.85369873046876
2015-05-14,107.85369873046876,108.96177673339844
2015-05-15,108.96177673339844,108.46721649169922
2015-05-18,108.46721649169922,108.34201049804688
2015-05-19,108.34201049804688,108.60497283935548
2015-05-20,108.60497283935548,108.7802505493164
2015-05-21,108.7802505493164,108.51731872558594
2015-05-22,108.51731872558594,107.8161392211914
2015-05-26,107.8161392211914,106.50773620605467
2015-05-27,106.50773620605467,107.67839813232422
2015-05-28,107.67839813232422,107.4968719482422
2015-05-29,107.4968719482422,106.20719909667967
2015-06-01,106.20719909667967,106.53900909423828
2015-06-02,106.53900909423828,106.20719909667967
2015-06-03,106.20719909667967,106.37625885009766
2015-06-04,106.37625885009766,105.4121551513672
2015-06-05,105.4121551513672,104.79867553710938
2015-06-08,104.79867553710938,103.5090103149414
2015-06-09,103.5090103149414,103.72185516357422
2015-06-10,103.72185516357422,105.75021362304688
2015-06-11,105.75021362304688,105.66258239746094
2015-06-12,105.66258239746094,104.54195404052734
2015-06-15,104.54195404052734,104.08494567871094
2015-06-16,104.08494567871094,104.44805908203124
2015-06-17,104.44805908203124,104.65464782714844
2015-06-18,104.65464782714844,105.33074951171876
2015-06-19,105.33074951171876,104.54195404052734
2015-06-22,104.54195404052734,105.00524139404295
2015-06-23,105.00524139404295,105.56239318847656
2015-06-24,105.56239318847656,104.52944946289062
2015-06-25,104.52944946289062,103.97225952148438
2015-06-26,103.97225952148438,103.58412170410156
2015-06-29,103.58412170410156,102.02532196044922
2015-06-30,102.02532196044922,101.83123779296876
2015-07-01,101.83123779296876,102.97689056396484
2015-07-02,102.97689056396484,103.35252380371094
2015-07-06,103.35252380371094,103.12712097167967
2015-07-07,103.12712097167967,103.29615783691406
2015-07-08,103.29615783691406,102.14421844482422
2015-07-09,102.14421844482422,102.57623291015624
2015-07-10,102.57623291015624,104.5169677734375
2015-07-13,104.5169677734375,106.03821563720705
2015-07-14,106.03821563720705,105.55614471435548
2015-07-15,105.55614471435548,105.5060806274414
2015-07-16,105.5060806274414,107.05235290527344
2015-07-17,107.05235290527344,107.99769592285156
2015-07-20,107.99769592285156,108.44215393066406
2015-07-21,108.44215393066406,102.08787536621094
2015-07-22,102.08787536621094,100.38507080078124
2015-07-23,100.38507080078124,101.24899291992188
2015-07-24,101.24899291992188,100.00946807861328
2015-07-27,100.00946807861328,99.58375549316406
2015-07-28,99.58375549316406,100.19728088378906
2015-07-29,100.19728088378906,100.8483428955078
2015-07-30,100.8483428955078,100.7669677734375
2015-07-31,100.7669677734375,101.41178894042967
2015-08-03,101.41178894042967,99.3583755493164
2015-08-04,99.3583755493164,98.6634750366211
2015-08-05,98.6634750366211,98.85128784179688
2015-08-06,98.85128784179688,98.67453002929688
2015-08-07,98.67453002929688,97.91707611083984
2015-08-10,97.91707611083984,98.9459991455078
2015-08-11,98.9459991455078,98.16322326660156
2015-08-12,98.16322326660156,98.57354736328124
2015-08-13,98.57354736328124,97.88549041748048
2015-08-14,97.88549041748048,98.31475067138672
2015-08-17,98.31475067138672,98.66822814941406
2015-08-18,98.66822814941406,98.47885131835938
2015-08-19,98.47885131835938,97.17222595214844
2015-08-20,97.17222595214844,96.36422729492188
2015-08-21,96.36422729492188,93.95923614501952
2015-08-24,93.95923614501952,90.56317138671876
2015-08-25,90.56317138671876,88.9787826538086
2015-08-26,88.9787826538086,92.6020736694336
2015-08-27,92.6020736694336,93.76353454589844
2015-08-28,93.76353454589844,93.4100570678711
2015-08-31,93.4100570678711,93.3532257080078
2015-09-01,93.3532257080078,90.06449127197266
2015-09-02,90.06449127197266,91.560546875
2015-09-03,91.560546875,92.65257263183594
2015-09-04,92.65257263183594,90.70836639404295
2015-09-08,90.70836639404295,92.9366226196289
2015-09-09,92.9366226196289,91.560546875
2015-09-10,91.560546875,92.28643798828124
2015-09-11,92.28643798828124,93.02499389648438
2015-09-14,93.02499389648438,91.93923950195312
2015-09-15,91.93923950195312,93.1259994506836
2015-09-16,93.1259994506836,93.68144989013672
2015-09-17,93.68144989013672,93.51104736328124
2015-09-18,93.51104736328124,91.21968841552734
2015-09-21,91.21968841552734,92.46317291259766
2015-09-22,92.46317291259766,91.16915893554688
2015-09-23,91.16915893554688,90.6831283569336
2015-09-24,90.6831283569336,91.15655517578124
2015-09-25,91.15655517578124,91.79408264160156
2015-09-28,91.79408264160156,89.96355438232422
2015-09-29,89.96355438232422,89.93195343017578
2015-09-30,89.93195343017578,91.5100326538086
2015-10-01,91.5100326538086,90.63893127441406
2015-10-02,90.63893127441406,91.26384735107422
2015-10-05,91.26384735107422,94.07913970947266
2015-10-06,94.07913970947266,93.91506958007812
2015-10-07,93.91506958007812,94.74198150634766
2015-10-08,94.74198150634766,96.12435150146484
2015-10-09,96.12435150146484,96.19378662109376
2015-10-12,96.19378662109376,95.40475463867188
2015-10-13,95.40475463867188,94.44525146484376
2015-10-14,94.44525146484376,94.6914291381836
2015-10-15,94.6914291381836,94.74198150634766
2015-10-16,94.74198150634766,94.93132781982422
2015-10-19,94.93132781982422,94.19275665283205
2015-10-20,94.19275665283205,88.77679443359375
2015-10-21,88.77679443359375,88.95353698730469
2015-10-22,88.95353698730469,90.95453643798828
2015-10-23,90.95453643798828,91.32698822021484
2015-10-26,91.32698822021484,90.6831283569336
2015-10-27,90.6831283569336,87.0219497680664
2015-10-28,87.0219497680664,88.8967056274414
2015-10-29,88.8967056274414,88.71995544433594
2015-10-30,88.71995544433594,88.42330169677734
2015-11-02,88.42330169677734,88.60636138916016
2015-11-03,88.60636138916016,89.55950927734375
2015-11-04,89.55950927734375,89.40168762207031
2015-11-05,89.40168762207031,88.30335998535156
2015-11-06,88.30335998535156,88.08672332763672
2015-11-09,88.08672332763672,86.2135009765625
2015-11-10,86.2135009765625,86.31544494628906
2015-11-11,86.31544494628906,86.02872467041016
2015-11-12,86.02872467041016,84.76715087890625
2015-11-13,84.76715087890625,83.94522094726562
2015-11-16,83.94522094726562,85.19405364990234
2015-11-17,85.19405364990234,85.2641372680664
2015-11-18,85.2641372680664,86.5384292602539
2015-11-19,86.5384292602539,87.1246109008789
2015-11-20,87.1246109008789,88.24602508544922
2015-11-23,88.24602508544922,88.22054290771484
2015-11-24,88.22054290771484,88.30972290039062
2015-11-25,88.30972290039062,87.92742919921875
2015-11-27,87.92742919921875,88.22054290771484
2015-11-30,88.22054290771484,88.83219146728516
2015-12-01,88.83219146728516,90.0173110961914
2015-12-02,90.0173110961914,89.01058959960938
2015-12-03,89.01058959960938,88.51359558105469
2015-12-04,88.51359558105469,89.47571563720703
2015-12-07,89.47571563720703,88.91502380371094
2015-12-08,88.91502380371094,87.95932006835938
2015-12-09,87.95932006835938,87.04178619384766
2015-12-10,87.04178619384766,87.15011596679688
2015-12-11,87.15011596679688,85.74198913574219
2015-12-14,85.74198913574219,86.60852813720703
2015-12-15,86.60852813720703,87.79364776611328
2015-12-16,87.79364776611328,88.74937438964844
2015-12-17,88.74937438964844,87.1310043334961
2015-12-18,87.1310043334961,85.95223999023438
2015-12-21,85.95223999023438,86.33454895019531
2015-12-22,86.33454895019531,87.88287353515625
2015-12-23,87.88287353515625,88.27149963378906
2015-12-24,88.27149963378906,88.08672332763672
2015-12-28,88.08672332763672,87.67896270751953
2015-12-29,87.67896270751953,89.06158447265625
2015-12-30,89.06158447265625,88.78123474121094
2015-12-31,88.78123474121094,87.68531799316406
2016-01-04,87.68531799316406,86.62125396728516
2016-01-05,86.62125396728516,86.55757141113281
2016-01-06,86.55757141113281,86.1242904663086
2016-01-07,86.1242904663086,84.65245819091797
2016-01-08,84.65245819091797,83.8687515258789
2016-01-11,83.8687515258789,84.88822937011719
2016-01-12,84.88822937011719,84.67793273925781
2016-01-13,84.67793273925781,83.57568359375
2016-01-14,83.57568359375,84.68431854248047
2016-01-15,84.68431854248047,82.84929656982422
2016-01-19,82.84929656982422,81.6259765625
2016-01-20,81.6259765625,77.64374542236328
2016-01-21,77.64374542236328,78.31278228759766
2016-01-22,78.31278228759766,78.05152130126953
2016-01-25,78.05152130126953,77.783935546875
2016-01-26,77.783935546875,78.10887145996094
2016-01-27,78.10887145996094,77.0703125
2016-01-28,77.0703125,77.87312316894531
2016-01-29,77.87312316894531,79.51061248779297
2016-02-01,79.51061248779297,79.53610229492188
2016-02-02,79.53610229492188,78.3318862915039
2016-02-03,78.3318862915039,79.46600341796875
2016-02-04,79.46600341796875,81.3328857421875
2016-02-05,81.3328857421875,81.91905975341797
2016-02-08,81.91905975341797,81.7323989868164
2016-02-09,81.7323989868164,79.85932159423828
2016-02-10,79.85932159423828,77.36193084716797
2016-02-11,77.36193084716797,75.85575866699219
2016-02-12,75.85575866699219,77.90902709960938
2016-02-16,77.90902709960938,79.00326538085938
2016-02-17,79.00326538085938,81.16596984863281
2016-02-18,81.16596984863281,85.25322723388672
2016-02-19,85.25322723388672,85.65875244140625
2016-02-22,85.65875244140625,86.1028823852539
2016-02-23,86.1028823852539,85.22107696533203
2016-02-24,85.22107696533203,85.47852325439453
2016-02-25,85.47852325439453,86.57275390625
2016-02-26,86.57275390625,84.98289489746094
2016-02-29,84.98289489746094,84.3392333984375
2016-03-01,84.3392333984375,86.48907470703125
2016-03-02,86.48907470703125,87.73133087158203
2016-03-03,87.73133087158203,88.69683074951172
2016-03-04,88.69683074951172,88.69683074951172
2016-03-07,88.69683074951172,90.2094497680664
2016-03-08,90.2094497680664,89.51431274414062
2016-03-09,89.51431274414062,90.37680053710938
2016-03-10,90.37680053710938,90.2352066040039
2016-03-11,90.2352066040039,91.6319580078125
2016-03-14,91.6319580078125,91.90229034423828
2016-03-15,91.90229034423828,92.01812744140624
2016-03-16,92.01812744140624,93.19603729248048
2016-03-17,93.19603729248048,94.64425659179688
2016-03-18,94.64425659179688,94.6764678955078
2016-03-21,94.6764678955078,95.667724609375
2016-03-22,95.667724609375,95.32659149169922
2016-03-23,95.32659149169922,93.58867645263672
2016-03-24,93.58867645263672,95.23003387451172
2016-03-28,95.23003387451172,95.51969909667967
2016-03-29,95.51969909667967,96.1182861328125
2016-03-30,96.1182861328125,95.52610778808594
2016-03-31,95.52610778808594,97.48283386230467
2016-04-01,97.48283386230467,98.17156982421876
2016-04-04,98.17156982421876,97.8819351196289
2016-04-05,97.8819351196289,96.54953002929688
2016-04-06,96.54953002929688,96.5624008178711
2016-04-07,96.5624008178711,95.42312622070312
2016-04-08,95.42312622070312,96.13117218017578
2016-04-11,96.13117218017578,96.06676483154295
2016-04-12,96.06676483154295,96.31137084960938
2016-04-13,96.31137084960938,97.34121704101562
2016-04-14,97.34121704101562,97.29618072509766
2016-04-15,97.29618072509766,97.65662384033205
2016-04-18,97.65662384033205,98.17798614501952
2016-04-19,98.17798614501952,92.68756866455078
2016-04-20,92.68756866455078,94.04568481445312
2016-04-21,94.04568481445312,96.09893798828124
2016-04-22,96.09893798828124,95.58404541015624
2016-04-25,95.58404541015624,95.78357696533205
2016-04-26,95.78357696533205,95.95736694335938
2016-04-27,95.95736694335938,96.85204315185548
2016-04-28,96.85204315185548,94.6635971069336
2016-04-29,94.6635971069336,93.93626403808594
2016-05-02,93.93626403808594,93.5050048828125
2016-05-03,93.5050048828125,92.77123260498048
2016-05-04,92.77123260498048,92.84847259521484
2016-05-05,92.84847259521484,94.27735900878906
2016-05-06,94.27735900878906,95.72010803222656
2016-05-09,95.72010803222656,95.75262451171876
2016-05-10,95.75262451171876,97.46180725097656
2016-05-11,97.46180725097656,96.79891967773438
2016-05-12,96.79891967773438,96.72743225097656
2016-05-13,96.72743225097656,95.99957275390624
2016-05-16,95.99957275390624,97.13037109375
2016-05-17,97.13037109375,96.1815414428711
2016-05-18,96.1815414428711,95.75262451171876
2016-05-19,95.75262451171876,94.1864242553711
2016-05-20,94.1864242553711,95.69416046142578
2016-05-23,95.69416046142578,95.3822021484375
2016-05-24,95.3822021484375,96.38300323486328
2016-05-25,96.38300323486328,98.57955169677734
2016-05-26,98.57955169677734,99.06695556640624
2016-05-27,99.06695556640624,99.32695770263672
2016-05-31,99.32695770263672,99.91183471679688
2016-06-01,99.91183471679688,99.11245727539062
2016-06-02,99.11245727539062,99.75584411621094
2016-06-03,99.75584411621094,99.3594207763672
2016-06-06,99.3594207763672,99.25543975830078
2016-06-07,99.25543975830078,99.64537811279295
2016-06-08,99.64537811279295,100.08078002929688
2016-06-09,100.08078002929688,99.7038803100586
