,Adj Close(t-1),Adj Close(t)
1688,146.76397705078125,145.360595703125
1689,145.360595703125,146.253662109375
1690,146.253662109375,146.0181121826172
1691,146.0181121826172,143.33895874023438
1692,143.33895874023438,140.27711486816406
1693,140.27711486816406,140.75796508789062
1694,140.75796508789062,143.1328582763672
1695,143.1328582763672,144.09463500976562
1696,144.09463500976562,144.1829376220703
1697,144.1829376220703,142.6618194580078
1698,142.6618194580078,139.26629638671875
1699,139.26629638671875,140.16912841796875
1700,140.16912841796875,138.8638916015625
1701,138.8638916015625,139.99249267578125
1702,139.99249267578125,136.5478973388672
1703,136.5478973388672,138.48118591308594
1704,138.48118591308594,139.35464477539062
1705,139.35464477539062,140.62059020996094
1706,140.62059020996094,140.23782348632812
1707,140.23782348632812,140.14952087402344
1708,140.14952087402344,138.8737030029297
1709,138.8737030029297,138.284912109375
1710,138.284912109375,141.0818328857422
1711,141.0818328857422,142.14169311523438
1712,142.14169311523438,143.81982421875
1713,143.81982421875,145.98866271972656
1714,145.98866271972656,146.4793243408203
1715,146.4793243408203,146.69525146484375
1716,146.69525146484375,145.9199981689453
1717,145.9199981689453,145.87086486816406
1718,145.87086486816406,146.53822326660156
1719,146.53822326660156,146.07699584960938
1720,146.07699584960938,149.7277069091797
1721,149.7277069091797,147.00927734375
1722,147.00927734375,146.18496704101562
1723,146.18496704101562,147.2252197265625
1724,147.2252197265625,148.6678466796875
1725,148.6678466796875,148.14768981933594
1726,148.14768981933594,148.6783905029297
1727,148.6783905029297,147.85284423828125
1728,147.85284423828125,148.21649169921875
1729,148.21649169921875,145.3761444091797
1730,145.3761444091797,145.3270721435547
1731,145.3270721435547,147.41061401367188
1732,147.41061401367188,147.42044067382812
1733,147.42044067382812,148.40321350097656
1734,148.40321350097656,150.8504180908203
1735,150.8504180908203,155.15509033203125
1736,155.15509033203125,157.78897094726562
1737,157.78897094726562,158.25091552734375
1738,158.25091552734375,158.6341552734375
1739,158.6341552734375,159.15505981445312
1740,159.15505981445312,154.11326599121094
1741,154.11326599121094,157.48431396484375
1742,157.48431396484375,162.457275390625
1743,162.457275390625,161.93641662597656
1744,161.93641662597656,160.94375610351562
1745,160.94375610351562,159.0568084716797
1746,159.0568084716797,162.4769287109375
1747,162.4769287109375,168.23619079589844
1748,168.23619079589844,172.069091796875
1749,172.069091796875,171.55801391601562
1750,171.55801391601562,176.36392211914062
1751,176.36392211914062,172.71774291992188
1752,172.71774291992188,171.33201599121094
1753,171.33201599121094,176.21652221679688
1754,176.21652221679688,169.297607421875
1755,169.297607421875,168.19683837890625
1756,168.19683837890625,166.83074951171875
1757,166.83074951171875,170.01504516601562
1758,170.01504516601562,172.6194610595703
1759,172.6194610595703,173.24844360351562
1760,173.24844360351562,177.22882080078125
1761,177.22882080078125,176.20669555664062
1762,176.20669555664062,176.295166015625
1763,176.295166015625,175.13543701171875
1764,175.13543701171875,174.5162811279297
1765,174.5162811279297,178.87994384765625
1766,178.87994384765625,176.609619140625
1767,176.609619140625,171.91184997558594
1768,171.91184997558594,169.04208374023438
1769,169.04208374023438,169.2091827392578
1770,169.2091827392578,169.22879028320312
1771,169.22879028320312,172.069091796875
1772,172.069091796875,172.5113525390625
1773,172.5113525390625,169.22879028320312
1774,169.22879028320312,170.09364318847656
1775,170.09364318847656,166.87989807128906
1776,166.87989807128906,163.37127685546875
1777,163.37127685546875,161.6808624267578
1778,161.6808624267578,159.6169891357422
1779,159.6169891357422,158.84054565429688
1780,158.84054565429688,157.03221130371094
1781,157.03221130371094,156.9437713623047
1782,156.9437713623047,156.4818572998047
1783,156.4818572998047,167.40077209472656
1784,167.40077209472656,171.77426147460938
1785,171.77426147460938,171.607177734375
1786,171.607177734375,172.81602478027344
1787,172.81602478027344,169.92657470703125
1788,169.92657470703125,169.6411895751953
1789,169.6411895751953,168.92286682128906
1790,168.92286682128906,172.04229736328125
1791,172.04229736328125,173.4691619873047
1792,173.4691619873047,169.37551879882812
1793,169.37551879882812,165.95101928710938
1794,165.95101928710938,166.18716430664062
1795,166.18716430664062,170.03485107421875
1796,170.03485107421875,169.7986602783203
1797,169.7986602783203,166.18716430664062
1798,166.18716430664062,164.63238525390625
1799,164.63238525390625,161.69992065429688
1800,161.69992065429688,157.51768493652344
1801,157.51768493652344,160.14508056640625
1802,160.14508056640625,162.2214813232422
1803,162.2214813232422,162.4871368408203
1804,162.4871368408203,160.59774780273438
1805,160.59774780273438,163.9041748046875
1806,163.9041748046875,163.57940673828125
1807,163.57940673828125,160.56825256347656
1808,160.56825256347656,156.75990295410156
1809,156.75990295410156,154.9295654296875
1810,154.9295654296875,160.3517303466797
1811,160.3517303466797,155.99237060546875
1812,155.99237060546875,152.2627716064453
1813,152.2627716064453,148.2183074951172
1814,148.2183074951172,152.6170654296875
1815,152.6170654296875,157.04531860351562
1816,157.04531860351562,158.05886840820312
1817,158.05886840820312,161.36529541015625
1818,161.36529541015625,162.7429962158203
1819,162.7429962158203,166.12814331054688
1820,166.12814331054688,167.4959716796875
1821,167.4959716796875,171.29440307617188
1822,171.29440307617188,171.93406677246094
1823,171.93406677246094,172.80003356933594
1824,172.80003356933594,176.10647583007812
1825,176.10647583007812,174.93545532226562
1826,174.93545532226562,171.82582092285156
1827,171.82582092285156,171.5305938720703
1828,171.5305938720703,175.5947265625
1829,175.5947265625,172.26864624023438
1830,172.26864624023438,169.09014892578125
1831,169.09014892578125,169.39520263671875
1832,169.39520263671875,167.37786865234375
1833,167.37786865234375,163.1071014404297
1834,163.1071014404297,164.9866485595703
1835,164.9866485595703,167.68295288085938
1836,167.68295288085938,162.65440368652344
1837,162.65440368652344,162.43792724609375
1838,162.43792724609375,164.73077392578125
1839,164.73077392578125,164.56349182128906
1840,164.56349182128906,163.76638793945312
1841,163.76638793945312,159.21023559570312
1842,159.21023559570312,160.2828369140625
1843,160.2828369140625,154.29981994628906
1844,154.29981994628906,154.07345581054688
1845,154.07345581054688,161.03073120117188
1846,161.03073120117188,155.13623046875
1847,155.13623046875,155.4413299560547
1848,155.4413299560547,156.93707275390625
1849,156.93707275390625,163.3727569580078
1850,163.3727569580078,154.27027893066406
1851,154.27027893066406,154.99954223632812
1852,154.99954223632812,149.85523986816406
1853,149.85523986816406,152.2696990966797
1854,152.2696990966797,144.37583923339844
1855,144.37583923339844,140.4929656982422
