Date,Adj Close,lag_1,lag_7,lag_30,rolling_mean_7,rolling_mean_30,day_of_week,month,quarter,year
2015-02-17,28.5479793548584,28.380477905273438,26.785924911499023,24.3204345703125,27.40645354134696,25.448921648661294,1,2,1,2015
2015-02-18,28.746732711791992,28.5479793548584,26.560361862182617,23.635284423828125,27.65817560468401,25.58983980814616,2,2,1,2015
2015-02-19,28.686443328857422,28.746732711791992,26.736787796020508,23.637510299682617,27.97051429748535,25.760221417744955,3,2,1,2015
2015-02-20,28.920936584472656,28.686443328857422,27.250444412231445,23.96895980834961,28.249036516462052,25.928519185384115,4,2,1,2015
2015-02-23,29.70258140563965,28.920936584472656,27.8891658782959,24.889904022216797,28.487678255353654,26.09358507792155,0,2,1,2015
2015-02-24,29.51722526550293,29.70258140563965,28.24201202392578,24.916597366333008,28.74673761640276,26.254007657368977,1,2,1,2015
2015-02-25,28.762367248535156,29.51722526550293,28.380477905273438,24.30263328552246,28.928910936628068,26.407361920674642,2,2,1,2015
2015-02-26,29.126392364501953,28.762367248535156,28.5479793548584,24.518413543701172,28.98346655709403,26.556019719441732,3,2,1,2015
2015-02-27,28.68867301940918,29.126392364501953,28.746732711791992,24.42498779296875,29.066096987043107,26.709619013468423,4,2,1,2015
2015-03-02,28.82936668395996,28.68867301940918,28.686443328857422,23.762086868286133,29.057802745274135,26.851741854349772,0,3,1,2015
2015-03-03,28.889673233032227,28.82936668395996,28.920936584472656,23.57745361328125,29.07822036743164,27.0206511815389,1,3,1,2015
2015-03-04,28.70653533935547,28.889673233032227,29.70258140563965,24.184736251831055,29.073754174368723,27.197725168863933,2,3,1,2015
2015-03-05,28.230846405029297,28.70653533935547,29.51722526550293,24.369373321533203,28.931461879185267,27.348451805114745,3,3,1,2015
2015-03-06,28.273284912109375,28.230846405029297,28.762367248535156,25.00335121154785,28.747693470546178,27.477167574564614,4,3,1,2015
2015-03-09,28.39388084411621,28.273284912109375,29.126392364501953,25.132375717163086,28.677824565342494,27.586165364583334,0,3,1,2015
2015-03-10,27.8065242767334,28.39388084411621,28.68867301940918,25.1590633392334,28.573180062430247,27.694882202148438,1,3,1,2015
2015-03-11,27.299575805664062,27.8065242767334,28.82936668395996,24.27816390991211,28.447158813476562,27.783130900065103,2,3,1,2015
2015-03-12,27.793132781982422,27.299575805664062,28.889673233032227,25.65068244934082,28.22861725943429,27.8838446299235,3,3,1,2015
2015-03-13,27.60106658935547,27.793132781982422,28.70653533935547,26.449275970458984,28.071968623570033,27.955259641011555,4,3,1,2015
2015-03-16,27.904794692993164,27.60106658935547,28.230846405029297,26.06221580505371,27.914044516427175,27.993652661641438,0,3,1,2015
2015-03-17,28.371551513671875,27.904794692993164,28.273284912109375,26.38921546936035,27.867465700422013,28.055071957906087,1,3,1,2015
2015-03-18,28.690900802612305,28.371551513671875,28.39388084411621,26.393665313720703,27.881503786359513,28.121149826049805,2,3,1,2015
2015-03-19,28.474285125732422,28.690900802612305,27.8065242767334,26.59609031677246,27.923935209001815,28.19772434234619,3,3,1,2015
2015-03-20,28.116952896118164,28.474285125732422,27.299575805664062,26.785924911499023,28.019329616001674,28.26033083597819,4,3,1,2015
2015-03-23,28.409515380859375,28.116952896118164,27.793132781982422,26.560361862182617,28.136097771780832,28.304698435465493,0,3,1,2015
2015-03-24,28.293384552001953,28.409515380859375,27.60106658935547,26.736787796020508,28.224152428763254,28.366336886088053,1,3,1,2015
2015-03-25,27.554166793823242,28.293384552001953,27.904794692993164,27.250444412231445,28.323054994855607,28.418223444620768,2,3,1,2015
2015-03-26,27.746231079101562,27.554166793823242,28.371551513671875,27.8891658782959,28.272965294974192,28.42834752400716,3,3,1,2015
2015-03-27,27.52513885498047,27.746231079101562,28.690900802612305,28.24201202392578,28.18363380432129,28.423583030700684,4,3,1,2015
2015-03-30,28.221925735473633,27.52513885498047,28.474285125732422,28.380477905273438,28.017096383231028,28.399687258402505,0,3,1,2015
2015-03-31,27.78866195678711,28.221925735473633,28.116952896118164,28.5479793548584,27.981045041765487,28.394402186075848,1,3,1,2015
2015-04-01,27.74846649169922,27.78866195678711,28.409515380859375,28.746732711791992,27.934146336146764,28.369091606140138,2,4,2,2015
2015-04-02,27.987428665161133,27.74846649169922,28.293384552001953,28.686443328857422,27.839710780552455,28.33581606547038,3,4,2,2015
2015-04-06,28.440776824951172,27.987428665161133,27.554166793823242,28.920936584472656,27.796002796718053,28.3125155766805,0,4,2,2015
2015-04-07,28.141521453857422,28.440776824951172,27.746231079101562,29.70258140563965,27.92266137259347,28.29651025136312,1,4,2,2015
2015-04-08,28.049951553344727,28.141521453857422,27.52513885498047,29.51722526550293,27.97913142613002,28.244474919637046,2,4,2,2015
2015-04-09,28.264352798461914,28.049951553344727,28.221925735473633,28.762367248535156,28.05410466875349,28.19556579589844,3,4,2,2015
2015-04-10,28.38494300842285,28.264352798461914,27.78866195678711,29.126392364501953,28.060165677751815,28.17896531422933,4,4,2,2015
2015-04-13,28.32911491394043,28.38494300842285,27.74846649169922,28.68867301940918,28.145348685128347,28.15425033569336,0,4,2,2015
2015-04-14,28.2062931060791,28.32911491394043,27.987428665161133,28.82936668395996,28.228298459734237,28.14226506551107,1,4,2,2015
2015-04-15,28.313480377197266,28.2062931060791,28.440776824951172,28.889673233032227,28.259564808436803,28.121495946248373,2,4,2,2015
2015-04-16,28.1772518157959,28.313480377197266,28.141521453857422,28.70653533935547,28.241379601614817,28.10228951772054,3,4,2,2015
2015-04-17,27.86012077331543,28.1772518157959,28.049951553344727,28.230846405029297,28.246483939034597,28.08464673360189,4,4,2,2015
2015-04-20,28.496612548828125,27.86012077331543,28.264352798461914,28.273284912109375,28.21936525617327,28.07228921254476,0,4,2,2015
2015-04-21,28.34252166748047,28.496612548828125,28.38494300842285,28.39388084411621,28.2525452205113,28.079733467102052,1,4,2,2015
2015-04-22,28.724403381347656,28.34252166748047,28.32911491394043,27.8065242767334,28.246485028948104,28.078021494547524,2,4,2,2015
2015-04-23,28.95889663696289,28.724403381347656,28.2062931060791,27.299575805664062,28.302954810006277,28.108617464701336,3,4,2,2015
2015-04-24,29.095129013061523,28.95889663696289,28.313480377197266,27.793132781982422,28.410469600132533,28.16392815907796,4,4,2,2015
2015-04-27,29.624412536621094,29.095129013061523,28.1772518157959,27.60106658935547,28.522133690970286,28.207328033447265,0,4,2,2015
2015-04-28,29.157665252685547,29.624412536621094,27.86012077331543,27.904794692993164,28.728870936802455,28.27477289835612,1,4,2,2015
2015-04-29,28.72887420654297,29.157665252685547,28.496612548828125,28.371551513671875,28.91423443385533,28.316535250345865,2,4,2,2015
2015-04-30,27.94945526123047,28.72887420654297,28.34252166748047,28.690900802612305,28.947414670671737,28.328446006774904,3,4,2,2015
2015-05-01,28.798105239868164,27.94945526123047,28.724403381347656,28.474285125732422,28.891262326921737,28.303731155395507,4,5,2,2015
2015-05-04,28.74227523803711,28.798105239868164,28.95889663696289,28.116952896118164,28.901791163853236,28.314525159200034,0,5,2,2015
2015-05-05,28.094627380371094,28.74227523803711,29.095129013061523,28.409515380859375,28.870845249720983,28.335369237263997,1,5,2,2015
2015-05-06,27.918195724487305,28.094627380371094,29.624412536621094,28.293384552001953,28.72791644505092,28.324872970581055,2,5,2,2015
2015-05-07,28.09087562561035,27.918195724487305,29.157665252685547,27.554166793823242,28.484171186174667,28.312366676330566,3,5,2,2015
2015-05-08,28.620132446289062,28.09087562561035,28.72887420654297,27.746231079101562,28.331772668021067,28.33025697072347,4,5,2,2015
