Date,AAPL,lag_1
2016-10-04,26.000417709350582,25.889970779418945
2016-10-05,26.011932373046875,26.000417709350582
2016-10-06,26.2052001953125,26.011932373046875
2016-10-07,26.24431800842285,26.2052001953125
2016-10-10,26.702205657958984,26.24431800842285
2016-10-11,26.75973320007324,26.702205657958984
2016-10-12,26.999021530151367,26.75973320007324
2016-10-13,26.91618537902832,26.999021530151367
2016-10-14,27.06574821472168,26.91618537902832
2016-10-17,27.04734230041504,27.06574821472168
2016-10-18,27.0289363861084,27.04734230041504
2016-10-19,26.948400497436523,27.0289363861084
2016-10-20,26.93459701538086,26.948400497436523
2016-10-21,26.82875633239746,26.93459701538086
2016-10-24,27.070350646972656,26.82875633239746
2016-10-25,27.208406448364254,27.070350646972656
2016-10-26,26.596363067626953,27.208406448364254
2016-10-27,26.340959548950195,26.596363067626953
2016-10-28,26.166093826293945,26.340959548950195
2016-10-31,26.124675750732425,26.166093826293945
2016-11-01,25.652984619140625,26.124675750732425
2016-11-02,25.67599105834961,25.652984619140625
2016-11-03,25.40077781677246,25.67599105834961
2016-11-04,25.17181396484375,25.40077781677246
2016-11-07,25.534914016723633,25.17181396484375
2016-11-08,25.68524169921875,25.534914016723633
2016-11-09,25.64361000061035,25.68524169921875
2016-11-10,24.92898178100586,25.64361000061035
2016-11-11,25.076993942260746,24.92898178100586
2016-11-14,24.447927474975582,25.076993942260746
2016-11-15,24.77171516418457,24.447927474975582
2016-11-16,25.43778610229492,24.77171516418457
2016-11-17,25.428525924682617,25.43778610229492
2016-11-18,25.453968048095703,25.428525924682617
2016-11-21,25.8402042388916,25.453968048095703
2016-11-22,25.85638427734375,25.8402042388916
2016-11-23,25.724559783935547,25.85638427734375
2016-11-25,25.85407829284668,25.724559783935547
2016-11-28,25.803194046020508,25.85407829284668
2016-11-29,25.777751922607425,25.803194046020508
2016-11-30,25.560352325439453,25.777751922607425
2016-12-01,25.32213973999023,25.560352325439453
2016-12-02,25.41696548461914,25.32213973999023
2016-12-05,25.2342586517334,25.41696548461914
2016-12-06,25.428525924682617,25.2342586517334
2016-12-07,25.678308486938477,25.428525924682617
2016-12-08,25.930395126342773,25.678308486938477
2016-12-09,26.35362243652344,25.930395126342773
2016-12-12,26.203296661376953,26.35362243652344
2016-12-13,26.640399932861328,26.203296661376953
2016-12-14,26.640399932861328,26.640399932861328
2016-12-15,26.78610610961914,26.640399932861328
2016-12-16,26.82080078125,26.78610610961914
2016-12-19,26.975746154785156,26.82080078125
2016-12-20,27.047447204589844,26.975746154785156
2016-12-21,27.07288360595703,27.047447204589844
2016-12-22,26.894800186157227,27.07288360595703
2016-12-23,26.947996139526367,26.894800186157227
2016-12-27,27.119136810302734,26.947996139526367
2016-12-28,27.003507614135746,27.119136810302734
2016-12-29,26.99656105041504,27.003507614135746
2016-12-30,26.78610610961914,26.99656105041504
2017-01-03,26.862428665161133,26.78610610961914
2017-01-04,26.832359313964844,26.862428665161133
2017-01-05,26.96881103515625,26.832359313964844
2017-01-06,27.26946449279785,26.96881103515625
2017-01-09,27.51923942565918,27.26946449279785
2017-01-10,27.546995162963867,27.51923942565918
2017-01-11,27.695009231567383,27.546995162963867
2017-01-12,27.57937240600586,27.695009231567383
2017-01-13,27.53080940246582,27.57937240600586
2017-01-17,27.752832412719727,27.53080940246582
2017-01-18,27.75051498413086,27.752832412719727
2017-01-19,27.70194435119629,27.75051498413086
2017-01-20,27.752832412719727,27.70194435119629
2017-01-23,27.771329879760746,27.752832412719727
2017-01-24,27.745887756347656,27.771329879760746
2017-01-25,28.18761825561523,27.745887756347656
2017-01-26,28.201499938964844,28.18761825561523
2017-01-27,28.203813552856445,28.201499938964844
2017-01-30,28.129802703857425,28.203813552856445
2017-01-31,28.065044403076172,28.129802703857425
2017-02-01,29.776470184326172,28.065044403076172
2017-02-02,29.72559356689453,29.776470184326172
2017-02-03,29.85279083251953,29.72559356689453
2017-02-06,30.132627487182617,29.85279083251953
2017-02-07,30.41941261291504,30.132627487182617
2017-02-08,30.53736114501953,30.41941261291504
2017-02-09,30.758018493652344,30.53736114501953
2017-02-10,30.68833923339844,30.758018493652344
2017-02-13,30.96009826660156,30.68833923339844
2017-02-14,31.361936569213867,30.96009826660156
2017-02-15,31.475759506225582,31.361936569213867
2017-02-16,31.43860626220703,31.475759506225582
2017-02-17,31.524547576904297,31.43860626220703
2017-02-21,31.752172470092773,31.524547576904297
2017-02-22,31.847402572631836,31.752172470092773
2017-02-23,31.71268081665039,31.847402572631836
2017-02-24,31.742870330810547,31.71268081665039
2017-02-27,31.805591583251953,31.742870330810547
2017-02-28,31.819530487060547,31.805591583251953
2017-03-01,32.46990203857422,31.819530487060547
2017-03-02,32.2771110534668,32.46990203857422
2017-03-03,32.467567443847656,32.2771110534668
2017-03-06,32.36537551879883,32.467567443847656
2017-03-07,32.407188415527344,32.36537551879883
2017-03-08,32.28641128540039,32.407188415527344
2017-03-09,32.212074279785156,32.28641128540039
2017-03-10,32.31892013549805,32.212074279785156
2017-03-13,32.33285903930664,32.31892013549805
2017-03-14,32.284080505371094,32.33285903930664
2017-03-15,32.625526428222656,32.284080505371094
2017-03-16,32.678951263427734,32.625526428222656
2017-03-17,32.516361236572266,32.678951263427734
2017-03-20,32.8577995300293,32.516361236572266
2017-03-21,32.481510162353516,32.8577995300293
2017-03-22,32.8485107421875,32.481510162353516
2017-03-23,32.73237609863281,32.8485107421875
2017-03-24,32.667320251464844,32.73237609863281
2017-03-27,32.72307586669922,32.667320251464844
2017-03-28,33.401329040527344,32.72307586669922
2017-03-29,33.47566604614258,33.401329040527344
2017-03-30,33.43153381347656,33.47566604614258
2017-03-31,33.36881637573242,33.43153381347656
2017-04-03,33.37810134887695,33.36881637573242
2017-04-04,33.62662887573242,33.37810134887695
2017-04-05,33.452430725097656,33.62662887573242
2017-04-06,33.36881637573242,33.452430725097656
2017-04-07,33.29449462890625,33.36881637573242
2017-04-10,33.25499725341797,33.29449462890625
2017-04-11,32.89728927612305,33.25499725341797
2017-04-12,32.93677520751953,32.89728927612305
2017-04-13,32.762569427490234,32.93677520751953
2017-04-17,32.943748474121094,32.762569427490234
2017-04-18,32.79740905761719,32.943748474121094
2017-04-19,32.676612854003906,32.79740905761719
2017-04-20,33.08543395996094,32.676612854003906
2017-04-21,33.04594802856445,33.08543395996094
2017-04-24,33.364166259765625,33.04594802856445
2017-04-25,33.570892333984375,33.364166259765625
2017-04-26,33.37345504760742,33.570892333984375
2017-04-27,33.39900588989258,33.37345504760742
2017-04-28,33.366493225097656,33.39900588989258
2017-05-01,34.047054290771484,33.366493225097656
2017-05-02,34.2630729675293,34.047054290771484
2017-05-03,34.15855407714844,34.2630729675293
2017-05-04,34.035430908203125,34.15855407714844
2017-05-05,34.599876403808594,34.035430908203125
2017-05-08,35.54059982299805,34.599876403808594
2017-05-09,35.768226623535156,35.54059982299805
2017-05-10,35.598663330078125,35.768226623535156
2017-05-11,35.90653610229492,35.598663330078125
2017-05-12,36.40800094604492,35.90653610229492
2017-05-15,36.31468963623047,36.40800094604492
2017-05-16,36.26105117797851,36.31468963623047
2017-05-17,35.043556213378906,36.26105117797851
2017-05-18,35.577667236328125,35.043556213378906
2017-05-19,35.698944091796875,35.577667236328125
2017-05-22,35.915855407714844,35.698944091796875
2017-05-23,35.871543884277344,35.915855407714844
2017-05-24,35.764251708984375,35.871543884277344
2017-05-25,35.88787078857422,35.764251708984375
2017-05-26,35.827232360839844,35.88787078857422
2017-05-30,35.84122085571289,35.827232360839844
