Date,Adj Close(t-1),Adj Close(t)
2015-01-05,24.3204345703125,23.635284423828125
2015-01-06,23.635284423828125,23.637510299682617
2015-01-07,23.637510299682617,23.96895980834961
2015-01-08,23.96895980834961,24.889904022216797
2015-01-09,24.889904022216797,24.916597366333008
2015-01-12,24.916597366333008,24.30263328552246
2015-01-13,24.30263328552246,24.518413543701172
2015-01-14,24.518413543701172,24.42498779296875
2015-01-15,24.42498779296875,23.762086868286133
2015-01-16,23.762086868286133,23.57745361328125
2015-01-20,23.57745361328125,24.184736251831055
2015-01-21,24.184736251831055,24.369373321533203
2015-01-22,24.369373321533203,25.00335121154785
2015-01-23,25.00335121154785,25.132375717163086
2015-01-26,25.132375717163086,25.1590633392334
2015-01-27,25.1590633392334,24.27816390991211
2015-01-28,24.27816390991211,25.65068244934082
2015-01-29,25.65068244934082,26.449275970458984
2015-01-30,26.449275970458984,26.06221580505371
2015-02-02,26.06221580505371,26.38921546936035
2015-02-03,26.38921546936035,26.393665313720703
2015-02-04,26.393665313720703,26.59609031677246
2015-02-05,26.59609031677246,26.785924911499023
2015-02-06,26.785924911499023,26.560361862182617
2015-02-09,26.560361862182617,26.736787796020508
2015-02-10,26.736787796020508,27.250444412231445
2015-02-11,27.250444412231445,27.8891658782959
2015-02-12,27.8891658782959,28.24201202392578
2015-02-13,28.24201202392578,28.380477905273438
2015-02-17,28.380477905273438,28.5479793548584
2015-02-18,28.5479793548584,28.746732711791992
2015-02-19,28.746732711791992,28.686443328857422
2015-02-20,28.686443328857422,28.920936584472656
2015-02-23,28.920936584472656,29.70258140563965
2015-02-24,29.70258140563965,29.51722526550293
2015-02-25,29.51722526550293,28.762367248535156
2015-02-26,28.762367248535156,29.126392364501953
2015-02-27,29.126392364501953,28.68867301940918
2015-03-02,28.68867301940918,28.82936668395996
2015-03-03,28.82936668395996,28.889673233032227
2015-03-04,28.889673233032227,28.70653533935547
2015-03-05,28.70653533935547,28.230846405029297
2015-03-06,28.230846405029297,28.273284912109375
2015-03-09,28.273284912109375,28.39388084411621
2015-03-10,28.39388084411621,27.8065242767334
2015-03-11,27.8065242767334,27.299575805664062
2015-03-12,27.299575805664062,27.793132781982422
2015-03-13,27.793132781982422,27.60106658935547
2015-03-16,27.60106658935547,27.904794692993164
2015-03-17,27.904794692993164,28.371551513671875
2015-03-18,28.371551513671875,28.690900802612305
2015-03-19,28.690900802612305,28.474285125732422
2015-03-20,28.474285125732422,28.116952896118164
2015-03-23,28.116952896118164,28.409515380859375
2015-03-24,28.409515380859375,28.293384552001953
2015-03-25,28.293384552001953,27.554166793823242
2015-03-26,27.554166793823242,27.746231079101562
2015-03-27,27.746231079101562,27.52513885498047
2015-03-30,27.52513885498047,28.221925735473633
2015-03-31,28.221925735473633,27.78866195678711
2015-04-01,27.78866195678711,27.74846649169922
2015-04-02,27.74846649169922,27.987428665161133
2015-04-06,27.987428665161133,28.440776824951172
2015-04-07,28.440776824951172,28.141521453857422
2015-04-08,28.141521453857422,28.049951553344727
2015-04-09,28.049951553344727,28.264352798461914
2015-04-10,28.264352798461914,28.38494300842285
2015-04-13,28.38494300842285,28.32911491394043
2015-04-14,28.32911491394043,28.2062931060791
2015-04-15,28.2062931060791,28.313480377197266
2015-04-16,28.313480377197266,28.1772518157959
