model,mae,mse,mae_change (%),mse_change (%)
baseline_lstm,2.337808740082107,9.499179156032667,0.0,0.0
concat_deberta_sentiment_weighted_headline,2.2154932487712573,8.877109079508099,-5.232057234355016,-6.54867190424037
concat_ensemble_weighted_headline,2.1951110552715742,8.691957147965132,-6.10390757652489,-8.497808019073847
concat_llm_sentiment_weighted_headline,2.3023941955391267,9.527063576144869,-1.5148606443201384,0.29354557540366677
concat_llm_sentiment_dynamic_headline,2.416305580282289,10.144152310914022,3.357710100674226,6.78977777223782
llm_price_prediction_headline,2.3962821623724446,10.28674774938352,2.5012064198324415,8.290912092658974
