model,mae,mse
concat_attention_ensemble_lag3_headline_0,6.248749767248193,64.47559087762254
concat_attention_ensemble_lag3_headline_1,19.43238789453462,481.56272127412456
concat_attention_ensemble_lag3_headline_2,5.869712060058467,54.50912545752795
concat_attention_ensemble_lag3_headline_3,19.152971290861597,455.59367816907246
concat_attention_ensemble_lag3_headline_4,6.045291266421797,60.42000075453468
concat_attention_ensemble_lag3_headline_5,4.831062260601109,37.86708716646456
concat_attention_ensemble_lag3_headline_6,6.324943248903664,64.40933816209241
concat_attention_ensemble_lag3_headline_7,6.179911210313264,61.73930981510236
concat_attention_ensemble_lag3_headline_8,15.378501721053215,319.4080279488037
concat_attention_ensemble_lag3_headline_9,4.569479090955017,33.35108930512513
concat_attention_ensemble_lag3_headline_10,15.590736852229618,320.19591587947343
concat_attention_ensemble_lag3_headline_11,4.892748351073053,40.09923127346743
concat_attention_ensemble_lag3_headline_12,24.246923171468683,717.3853102953382
concat_attention_ensemble_lag3_headline_13,17.837160194035132,410.56878834049223
concat_attention_ensemble_lag3_headline_14,5.927438654288325,58.38933184233084
concat_attention_ensemble_lag3_headline_15,7.811423840128051,98.51063384117175
concat_attention_ensemble_lag3_headline_16,6.9103922304298,75.53993869577944
concat_attention_ensemble_lag3_headline_17,7.156331011863247,80.7569652125326
concat_attention_ensemble_lag3_headline_18,9.981197393547571,142.2434208450826
concat_attention_ensemble_lag3_headline_19,6.707165389044171,74.12330381487332
concat_attention_ensemble_lag3_headline_20,15.19442200934472,299.71767911877754
concat_attention_ensemble_lag3_headline_21,20.425867385123,533.9356178531298
concat_attention_ensemble_lag3_headline_22,17.4429249630942,393.12999500113426
concat_attention_ensemble_lag3_headline_23,6.2281511466704975,61.68464275485841
concat_attention_ensemble_lag3_headline_24,13.199552107494036,235.46268216421973
concat_attention_ensemble_lag3_headline_25,5.1769592099273956,44.11529036384851
concat_attention_ensemble_lag3_headline_26,4.469267060079644,31.813186601007455
concat_attention_ensemble_lag3_headline_27,12.778533323840849,226.34756069371628
concat_attention_ensemble_lag3_headline_28,13.345706410675945,232.40721418289215
concat_attention_ensemble_lag3_headline_29,18.822454868012677,455.6010325153909
concat_attention_ensemble_lag3_headline_average,10.939278846110719,205.51212367399958
