model,mae,mse,mae_change (%),mse_change (%)
baseline_lstm,202.50172718076664,71935.13715441762,0.0,0.0
concat_ensemble_weighted_headline,204.09322165527485,72649.33490577554,0.7859164939800908,0.9928357400984796
