model,mae,mse,mae_change (%),mse_change (%)
baseline_lstm,1.599769102688774,5.68360199485057,0.0,0.0
concat_deberta_sentiment_weighted_headline,1.8063179402187937,7.970688900157891,12.911165566510046,40.24009611122412
concat_ensemble_weighted_headline,1.8297862840548071,8.067575712339615,14.378148757807443,41.94476882176058
concat_llm_sentiment_weighted_headline,1.6364776927920046,6.545491023074129,2.2946180196588117,15.164485989772732
concat_llm_sentiment_dynamic_headline,1.6701113879935792,6.635342945176762,4.397027370173553,16.745383494278517
llm_price_prediction_headline,1.7463533732905292,6.755334453412596,9.162839209445115,18.8565712295307
