pub_date,abstract,lead_para,headline,doc_type,section_name,type_of_material,rank,web_url
2022-11-14,"The job cuts of approximately 10,000, which would start as soon as this week, would focus on the company’s devices organization, retail division and human resources.","Amazon plans to lay off approximately 10,000 people in corporate and technology jobs starting as soon as this week, people with knowledge of the matter said, in what would be the largest job cuts in the company’s history.",Amazon Is Said to Plan to Lay Off Thousands of Employees,article,Technology,News,4,https://www.nytimes.com/2022/11/14/technology/amazon-layoffs.html
2022-11-10,A new Amazon series puts an unlikely alliance at the heart of an unconventional tribute to the classic American western.,"The new Amazon series “The English” bears all the external signs of the classic westerns of yore, with scenes that could have been pulled straight from a 1950s Technicolor epic. There are horseback riders silhouetted against retina-singeing vistas, desolate outposts appearing like sunbaked hallucinations, and low-angle shots that magnify people into mythic figures.",‘The English’: Emily Blunt and Chaske Spencer Saddle Up,article,Arts,News,6,https://www.nytimes.com/2022/11/10/arts/television/the-english-emily-blunt-chaske-spencer.html
2022-11-02,The deal to stream Overtime Elite’s games to Prime Video comes as top male players consider the league an option instead of traditional high schools and colleges.,"ROSELLE, N.J. — On a recent Friday evening, Naasir Cunningham was back home in New Jersey doing what he does best: flying up and down a basketball court, deftly floating in baskets and hitting an array of jump shots from various angles.",Overtime Elite Gets Media Deal With Amazon Prime Video,article,Sports,News,6,https://www.nytimes.com/2022/11/02/sports/ncaabasketball/overtime-elite-amazon-prime-video-deal.html
2022-11-23,"It promises to be unpredictable, with retailers and consumers still figuring out how much will be spent and on what kinds of goods.",No one quite knows what to make of this year’s holiday shopping season. But billions of dollars are riding on it.,Billions of Dollars Are at Stake in a Puzzling Holiday Shopping Season,article,Business Day,News,10,https://www.nytimes.com/2022/11/23/business/holiday-shopping.html
2022-11-28,Entire forests and enormous factories running 24/7 can barely keep up with demand. This is how the cardboard economy works.,"Before it was the cardboard on your doorstep, it was coarse brown paper, and before it was paper, it was a river of hot pulp, and before it was a river, it was a tree. Probably a Pinus taeda, or loblolly pine, a slender conifer native to the Southeastern United States. “The wonderful thing about the loblolly,” a forester named Alex Singleton told me this spring, peering out over the fringes of a tree farm in West Georgia, “is that it grows fast and grows pretty much anywhere, including swamps” — hence the non-Latin name for the tree, which comes from an antiquated term for mud pit. “See those oaks over there?” Singleton went on. “Oaks are hardwood, with short fibers. Fine for paper. Book pages. But not fine for packaging, because for packaging, you need the long fibers. A pine will give you that. An oak won’t.”",Where Does All the Cardboard Come From? I Had to Know.,article,Magazine,News,6,https://www.nytimes.com/2022/11/28/magazine/cardboard-international-paper.html
2022-11-14,"With the collapse of the giant cryptocurrency exchange, investors are asking whether regulators or the venture capitalists who funded FTX, are at fault.","Andrew here. Over dinners and text messages this weekend, financiers on Wall Street and Silicon Valley, and policymakers in Washington, debated whether the multibillion-dollar collapse of FTX, the crypto exchange founded by the wunderkind Sam Bankman-Fried, should be compared to the fall of Enron, Lehman Brothers, Bernie Madoff or MF Global.",Who Bears Blame for FTX’s Failure?,article,Business Day,News,2,https://www.nytimes.com/2022/11/14/business/dealbook/ftx-bankruptcy-regulators-investors-cz-sbf.html
2022-11-02,Markets expect another big interest rate increase on Wednesday. But investors are also anxious about the central bank’s coming moves.,"Wednesday is the final meeting of the Fed’s Open Market Committee before next week’s midterm elections, and the central bank’s move on interest rates looks like a foregone conclusion.",Investors Await the Fed’s Next Move,article,Business Day,News,4,https://www.nytimes.com/2022/11/02/business/dealbook/investors-market-fed-interest-rates-inflation-fomc.html
2022-11-30,"Andrew will interview Janet Yellen, Volodymyr Zelensky, Mark Zuckerberg, Andy Jassy, Ben Affleck and many more.",Follow our live updates of the DealBook Summit.,Top Questions for Today’s DealBook Summit Speakers,article,Business Day,News,12,https://www.nytimes.com/2022/11/30/business/dealbook/top-questions-dealbook-summit-speakers-yellen-zuckerberg-jassy.html
2022-01-19,"The series, “The Lord of the Rings: The Rings of Power,” will take place thousands of years before the events of the “Lord of the Rings” trilogy.","Amazon Prime Video’s long-gestating “Lord of the Rings” series, which will make its debut on the streaming platform in September, officially has a name: “The Lord of the Rings: The Rings of Power.”",Amazon unveils the title for its big-budget ‘Lord of the Rings’ streaming series.,article,Business Day,News,1,https://www.nytimes.com/2022/01/19/business/media/amazon-lord-of-the-rings.html
2022-01-20,"The company plans to open Amazon Style later this year in Glendale, Calif., that will incorporate customers’ physical browsing behavior and preferences on the Amazon Shopping app.","Amazon, which has posed formidable challenges to booksellers, big-box chains and grocers, has a new kind of retailer in its sights: physical clothing stores.",Amazon plans a new rival for retailers: a physical clothing store.,article,Business Day,News,4,https://www.nytimes.com/2022/01/20/business/amazon-style-clothing-store.html
