pub_date,abstract,lead_para,headline,doc_type,section_name,type_of_material,rank,web_url
2015-07-30T11:12:48+0000,Deutsche Bank Triples Net Profit | On Track for a September Rate Rise | Puerto Rico’s Next Big Test,"STEADY AS SHE GOES AT FACEBOOK | The social network beat Wall Street expectations in the second quarter, with revenue up 39 percent from a year ago to $4.04 billion, Vindu Goel reports in The New York Times. Net income was down to $719 million, or 25 cents a share, compared with $791 million, or 30 cents a share, a year ago. ",Morning Agenda: Steady as She Goes at Facebook,article,Blogs,News,21,https://news.blogs.nytimes.com/2015/07/30/morning-agenda-steady-as-she-goes-at-facebook/
2015-11-02T20:48:54+0000,"Mr. Benioff runs Salesforce.com with a “1-1-1” philosophy, annually donating 1 percent of its equity, 1 percent of its employee time and 1 percent of its product to nonprofits. He explains why.","Marc Benioff founded Salesforce.com, one of the first and most successful cloud computing software companies, in 1999. The stock has gained over 1,800 percent since the company went public in 2004, making Mr. Benioff, a onetime Oracle executive, a billionaire.","Marc Benioff, Salesforce Chief, on the Strategic Benefits of Corporate Giving",article,Giving,News,4,https://www.nytimes.com/2015/11/08/giving/marc-benioff-salesforce-chief-on-the-strategic-benefits-of-corporate-giving.html
2016-08-02T10:46:33+0000,Uber Waves the White Flag | Big Banks Push Instant Payments,"HERBALIFE VS. ACTIVIST: JUST MAYBE HE’S RIGHT Bill Ackman, the activist investor, has been painted as a loser in his quest to shut down Herbalife, the nutritional supplement company, but a Federal Trade Commission’s complaint has vindicated his claims, Andrew Ross Sorkin writes.",Morning Agenda: Herbalife vs. Activist: Just Maybe He’s Right,article,Blogs,News,31,https://news.blogs.nytimes.com/2016/08/02/morning-agenda-herbalife-vs-activist-just-maybe-hes-right/
2016-09-30T16:05:55+0000,"European regulators look at Microsoft’s purchase of LinkedIn not for what it is, but for what may be. They are right to.","European regulators may be starting to regard antitrust in the tech industry in the light of the famous line about pornography: They can’t define it, but they know it when they see it.",Daily Report: Trust Busters Destined to Dig into Data,article,Technology,News,4,https://www.nytimes.com/2016/10/01/technology/daily-report-trust-busters-destined-to-dig-into-data.html
2016-09-29T17:36:49+0000,"Salesforce, a San Francisco tech company, is said to have questioned whether Microsoft’s takeover of LinkedIn might hinder consumer choice and access to data.","Microsoft outmuscled its rival Salesforce.com this year to buy LinkedIn, the professional social network, for $26.2 billion.",Salesforce Is Said to Question Microsoft-LinkedIn Deal in Europe,article,Technology,News,1,https://www.nytimes.com/2016/09/30/technology/salesforce-is-said-to-question-microsoft-linkedin-deal-in-europe.html
2016-09-18T22:26:02+0000,"As G.E., Oracle, Salesforce.com and others push their A.I. products, it remains unclear whether potential customers understand how they will profit.","SAN FRANCISCO — This is the year artificial intelligence came into its own for mainstream businesses, at least as a marketing feature.",Artificial Intelligence Software Is Booming. But Why Now?,article,Technology,News,5,https://www.nytimes.com/2016/09/19/technology/artificial-intelligence-software-is-booming-but-why-now.html
2016-09-23T18:38:27+0000,The social network site has been considering a possible restructuring as it wrestles with a slowdown in its growth.,"Twitter has long positioned itself as a global town square where anyone — celebrities, politicians, athletes, and you and me — can chat in 140-character messages and find out about whatever is happening in the moment.",Twitter Is Said to Be Discussing a Possible Takeover,article,Business Day,News,6,https://www.nytimes.com/2016/09/24/business/dealbook/twitter-sale.html
2016-09-27T06:20:19+0000,A possible takeover shows that just what Twitter is still is very much in the eye of the beholder.,Twitter has some 300 million regular monthly users — and possibly as many views about the company’s long-term purpose and value.,Daily Report: Twitter Attracts a Wide Range of Suitors,article,Technology,News,3,https://www.nytimes.com/2016/09/28/technology/daily-report-twitter-attracts-a-wide-range-of-suitors.html
2016-09-23T15:20:15+0000,"“Twitter has received expressions of interest from a number of technology companies,” said David Faber of CNBC, including from Salesforce.com and Google.","“Twitter has received expressions of interest from a number of technology companies,” said David Faber of CNBC, including from Salesforce.com and Google.",Twitter Moving Closer to Sale,multimedia,Business Day,Video,2,https://www.nytimes.com/video/business/dealbook/100000004666685/twitter-moving-closer-to-sale.html
2016-02-10T01:23:26+0000,"As the stock market continues its 2016 slide, technology stocks are falling even further, victims partly of their own success.","SAN FRANCISCO — As the United States economy muddled along over the last few years, investors paid handsome sums to get in on high-flying technology companies that were among the few pockets of steady growth. Now comes the payback.",Tech Stocks Have Fallen Faster and Further Than Broader Market,article,Technology,News,9,https://www.nytimes.com/2016/02/10/technology/fall-in-tech-stocks-is-faster-and-farther-than-broader-market.html
2016-03-01T21:14:28+0000,"Marc Benioff, chairman and chief executive of Salesforce, discussed at The New York Times’s New Work Summit how his company has tried to provide more and better opportunities for women.","Marc Benioff, chairman and chief executive of Salesforce, discussed at The New York Times’s New Work Summit how his company has tried to provide more and better opportunities for women.",Salesforce’s ‘Women’s Surge’,multimedia,Business Day,Video,2,https://www.nytimes.com/video/business/100000004244086/salesforces-womens-surge.html
2016-05-26T01:26:01+0000,"Salesforce, itself a cloud-computing company, will use Amazon Web Services to grow more rapidly in a deal valued at $400 million.","Amazon Web Services, the biggest of the cloud-computing providers, has a new line of work: Taking other cloud-computing giants into other countries.",Salesforce to Use Amazon’s Cloud to Expand in Canada and Australia,article,Technology,News,3,https://www.nytimes.com/2016/05/26/technology/salesforce-to-use-amazons-cloud-to-expand-in-canada-and-australia.html
2016-04-18T13:33:39+0000,"Wall Street is increasingly wary of the amount of equity that publicly traded tech companies award employees, especially when those companies stumble.",Tech companies may have to take stock of giving stock.,Tech Companies May Face a New Cost to Paying in Shares,article,Technology,News,5,https://www.nytimes.com/2016/04/19/technology/tech-companies-may-face-a-new-cost-to-paying-in-shares.html
2016-04-18T16:46:26+0000,"Through the funds, companies scout for new products or services and business partners, but critics say the funds contribute to inflated valuations.","At first glance, the maker of Cheerios and Cocoa Puffs might not fit the image of a cutting-edge venture capital investor.",General Mills and 7-Eleven Join the Venture Capital Crowd,article,Business Day,News,8,https://www.nytimes.com/2016/04/19/business/dealbook/general-mills-and-7-elevenjoin-the-venture-capital-crowd.html
2016-01-01T21:23:53+0000,"Adam Bosworth, a tech pioneer, sees the future in servers that manage and learn from data gathered by sensors implanted in practically everything.","SAN FRANCISCO — If you have sent email on Google or used Microsoft’s browser or databases, you have touched the technology handiwork of Adam Bosworth.",Looking Beyond the Internet of Things,article,Technology,News,6,https://www.nytimes.com/2016/01/02/technology/looking-beyond-the-internet-of-things.html
2016-06-08T10:18:10+0000,The Merger That Wasn’t? | Renaud Laplanche Said to Consider Lending Club Takeover,"DELL RULING MAY NOT AFFECT BUYOUTS AS MUCH AS FEARED | Will a judge’s ruling that buyers underpaid for Dell when it was taken private change buyouts more broadly? Probably not,Steven Davidoff Solomon argues in the Deal Professor column.",Morning Agenda: Dell Ruling May Not Affect Buyouts as Much as Feared,article,Blogs,News,29,https://news.blogs.nytimes.com/2016/06/08/morning-agenda-dell-ruling-may-not-affect-buyouts-as-much-as-feared/
2016-06-02T10:18:15+0000,Payday Loan Industry Could Soon Be Gutted | Sumner Redstone’s Granddaughter Sides With Viacom Directors,"UBER RECEIVES $3.5 BILLION FROM SAUDI ARABIA | Uber has turned to the Middle East in its quest to build a global empire. It raised $3.5 billion from Saudi Arabia’s Public Investment Fund in one of the largest ever investments into a privately held start-up,Mike Isaac and Michael J. de la Merced report in The New York Times. This round of fund-raising continued to value the company at $62.5 billion. ",Morning Agenda: Uber Receives $3.5 Billion from Saudi Arabia,article,Blogs,News,29,https://news.blogs.nytimes.com/2016/06/02/morning-agenda-uber-receives-3-5-billion-from-saudi-arabia/
2016-06-01T19:29:55+0000,The online software company hopes to stimulate growth by buying the e-commerce specialist.,"Salesforce.com is fluffing up its cloud business, but at a high cost.",Salesforce.com to Acquire Demandware for $2.8 Billion,article,Business Day,News,1,https://www.nytimes.com/2016/06/02/business/dealbook/salesforcecom-to-acquire-demandware-for-2-8-billion.html
2016-07-28T19:02:52+0000,"The purchase of NetSuite by Oracle makes strategic sense, but Lawrence J. Ellison appears to benefit from a side investment at Oracle’s expense.",Lawrence J. Ellison is cashing in again.,"Once Again, an Oracle Deal Benefits Ellison",article,Business Day,News,3,https://www.nytimes.com/2016/07/29/business/dealbook/once-again-an-oracle-deal-benefits-ellison.html
2016-10-11T10:07:03+0000,"Salesforce is still in talks to buy Twitter, according to two people involved in the discussions, despite some of Salesforce’s largest shareholders indicating that they are against the deal.","Even though some of the largest shareholders in Salesforce.com have made it clear that they are against the deal, the company is still in talks to buy Twitter, according to two people involved in the discussions who spoke on the condition of anonymity.","Morning Agenda: Twitter-Salesforce Talks, Buffett’s Taxes, H.R. Red Flags",article,Business Day,News,4,https://www.nytimes.com/2016/10/12/business/dealbook/salesforce-twitter-trump-buffett.html
2016-10-06T01:38:17+0000,The tech world has been buzzing since it heard that the online software company Salesforce was interested in bidding for Twitter.,"SAN FRANCISCO — Marc Benioff, the founder and chief executive of Salesforce.com, showed up onstage on Wednesday afternoon at his biggest customer event of the year to talk up his business technology company’s products and strategy.",Twitter’s Fate: Marc Benioff of Salesforce Addresses Acquisition Talk,article,Technology,News,3,https://www.nytimes.com/2016/10/07/technology/twitters-fate-marc-benioff-of-salesforce-addresses-acquisition-talk.html
2016-10-06T09:54:58+0000,"Theranos was recently a star of Silicon Valley. But now, it is closing its laboratory operations, shutting its wellness centers and laying off 340 employees.","Not long ago, Theranos and its founder, Elizabeth Holmes, were stars of Silicon Valley.","Morning Agenda: Theranos Closes Labs, Twitter Chatter, Taking on Samsung",article,Business Day,News,6,https://www.nytimes.com/2016/10/07/business/dealbook/theranos-holmes-twitter-salesforce-samsung-elliott.html
2016-10-06T15:22:03+0000,"“While I look at a lot of things, I actually pass on most things,” Marc Benioff said after CNBC's Jim Cramer asked him to deny that his company would buy Twitter.","“While I look at a lot of things, I actually pass on most things,” Marc Benioff said after CNBC's Jim Cramer asked him to deny that his company would buy Twitter.",Salesforce C.E.O. on Twitter Deal,multimedia,Business Day,Video,1,https://www.nytimes.com/video/business/dealbook/100000004694137/salesforce-ceo-on-twitter-deal.html
2016-11-05T13:42:50+0000,"Once so close they flirted with a merger, the software giants became archrivals when they realized the value of the data amassed by social networks.",This is a story of love lost after a fight over social media.,How LinkedIn Drove a Wedge Between Microsoft and Salesforce,article,Technology,News,5,https://www.nytimes.com/2016/11/06/technology/how-linkedin-drove-a-wedge-between-microsoft-and-salesforce.html
2016-10-08T13:30:05+0000,"Mike calls Yahoo’s surveillance predicament a “flaming garbage fire” and hopes Alexa and her A.I. ilk are friendlier than HAL. Soon, Farhad will be in Asia.","Each Saturday, Farhad Manjoo and Mike Isaac, technology reporters at The New York Times, review the week’s news, offering analysis and maybe a joke or two about the most important developments in the tech industry. ",Farhad’s and Mike’s Week in Tech: Samsung’s Exploding Products and Twitter’s Fizzling Deal,article,Technology,News,5,https://www.nytimes.com/2016/10/09/technology/farhads-and-mikes-week-in-tech-samsungs-exploding-products-and-twitters-fizzling-deal.html
2016-10-07T20:20:10+0000,"Suitors are falling away, and there is no way conventional financial analysis can help any company rationalize an acquisition of the company.",Twitter’s openness to being sold has set off a tweetstorm with a direct message: It will be hard for a new owner to make buying the $15 billion social network stack up.,Paying $15 Billion for Twitter Will Be Hard for Anyone to Justify,article,Business Day,News,4,https://www.nytimes.com/2016/10/08/business/dealbook/paying-15-billion-for-twitter-will-be-hard-for-anyone-to-justify.html
